last_name, first_name,player_id,year,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,
Wainwright, Adam,425794,2021,2839,16.6,-66.3,
Greinke, Zack,425844,2021,2365,11.4,-65,
Santana, Ervin,429722,2021,,,,
Petit, Yusmeiro,433589,2021,2018,9.7,-48.8,
Jansen, Kenley,445276,2021,,,,
Detwiler, Ross,446321,2021,2048,-5.8,-53.3,
Kluber, Corey,446372,2021,2506,16.9,-40.7,
Hill, Rich,448179,2021,2714,-19.5,-66.7,
Doolittle, Sean,448281,2021,2405,-7.8,-41.9,
Guerra, Junior,448855,2021,2556,5,-50.9,
Morton, Charlie,450203,2021,3053,16.6,-52.5,
Davis, Wade,451584,2021,2474,6.2,-52.7,
Lester, Jon,452657,2021,2437,-10.3,-57.8,
Kennedy, Ian,453178,2021,2563,9.3,-54,
Miller, Andrew,453192,2021,,,,
Watson, Tony,453265,2021,,,,
Bard, Daniel,453268,2021,,,,
LeBlanc, Wade,453281,2021,2321,-12.6,-56.9,
Parker, Blake,453284,2021,2092,5.4,-56.3,
Scherzer, Max,453286,2021,2661,13.4,-54.4,
Melancon, Mark,453343,2021,2599,4,-55.4,
Arrieta, Jake,453562,2021,2690,12.1,-52.9,
Martin, Chris,455119,2021,,,,
Price, David,456034,2021,2225,-8.5,-52.6,
Cueto, Johnny,456501,2021,2342,4.2,-44,
Happ, J.A.,457918,2021,2231,-4.7,-52.1,
Lynn, Lance,458681,2021,2473,6.5,-45,
Tomlin, Josh,458708,2021,2687,4.2,-53.3,
McGee, Jake,459429,2021,,,,
Soria, Joakim,465657,2021,2659,12.8,-73.6,
Chacin, Jhoulys,468504,2021,2445,12.3,-40.1,
Carrasco, Carlos,471911,2021,2752,9.6,-47,
Anderson, Brett,474463,2021,2328,-5.9,-59.8,
Luetge, Lucas,476595,2021,2658,-12.4,-65.4,
Kershaw, Clayton,477132,2021,2535,-4.8,-65.3,
Miley, Wade,489119,2021,2393,-10.6,-57.7,
Romo, Sergio,489265,2021,,,,
Stammen, Craig,489334,2021,2349,8.1,-53.6,
Valdez, Cesar,491624,2021,,,,
Ottavino, Adam,493603,2021,2813,16.4,-52.7,
Guerra, Deolis,500610,2021,2165,9.7,-60.7,
Quintana, Jose,500779,2021,2251,-10.2,-49.4,
Pineda, Michael,501381,2021,,,,
Alvarez, Jose,501625,2021,,,,
Smith, Joe,501925,2021,,,,
Minor, Mike,501985,2021,2493,-7,-54.7,
Gibson, Kyle,502043,2021,2435,7.2,-51.8,
Cobb, Alex,502171,2021,2569,4.8,-49.9,
Espino, Paolo,502179,2021,2984,12.9,-74,
Boxberger, Brad,502202,2021,,,,
Cahill, Trevor,502239,2021,3022,10.1,-55.9,
Anderson, Chase,502624,2021,2034,5.8,-61.2,
Holland, Derek,502706,2021,2088,0.2,-37.7,
Peralta, Wily,503449,2021,,,,
Dolis, Rafael,503569,2021,,,,
Darvish, Yu,506433,2021,2720,9.4,-63.5,
Colome, Alex,517008,2021,,,,
Bumgarner, Madison,518516,2021,2463,-10.1,-48.3,
Cishek, Steve,518553,2021,,,,
Diekman, Jake,518617,2021,,,,
Duffy, Danny,518633,2021,2483,-7.4,-62.1,
Harvey, Matt,518774,2021,2489,11.9,-49.8,
Holland, Greg,518813,2021,2291,4.5,-53.6,
Kelly, Merrill,518876,2021,2564,9.1,-51.3,
Kimbrel, Craig,518886,2021,2558,10.4,-42.6,
Moore, Matt,519043,2021,2203,-5.9,-49.8,
Pressly, Ryan,519151,2021,3224,14.4,-54.6,
Sale, Chris,519242,2021,,,,
Smith, Will,519293,2021,2078,-8.8,-52.9,
Strickland, Hunter,519326,2021,,,,
Hendriks, Liam,521230,2021,2214,2.7,-46.6,
Kelly, Joe,523260,2021,2890,8.6,-45.9,
Perez, Martin,527048,2021,2459,-5,-49.3,
Castellanos, Humberto,528748,2021,2352,9.7,-52.5,
Shoemaker, Matt,533167,2021,1947,8.8,-47.6,
Cisnero, Jose,542585,2021,,,,
Anderson, Tyler,542881,2021,2444,-5.9,-54.6,
Andriese, Matt,542882,2021,2678,6.2,-56.9,
Armstrong, Shawn,542888,2021,,,,
Bass, Anthony,542914,2021,,,,
Bleier, Richard,542947,2021,,,,
Cole, Gerrit,543037,2021,2800,10.5,-51.6,
DeSclafani, Anthony,543101,2021,1964,6.3,-46,
Eovaldi, Nathan,543135,2021,2086,9.9,-55,
Gray, Sonny,543243,2021,2748,14,-57.8,
Hand, Brad,543272,2021,2313,-26,-53.2,
Hendricks, Kyle,543294,2021,2844,14.9,-63.4,
Hudson, Daniel,543339,2021,,,,
Lyles, Jordan,543475,2021,2618,6.9,-57.3,
May, Trevor,543507,2021,,,,
McHugh, Collin,543521,2021,2756,13.4,-63.7,
Odorizzi, Jake,543606,2021,2066,7.5,-57.4,
Shaw, Bryan,543766,2021,2172,6.7,-54.8,
Familia, Jeurys,544727,2021,,,,
Bauer, Trevor,545333,2021,3013,9.4,-63.3,
Kim, Kwang Hyun,547942,2021,2142,-6,-65.9,
Ryu, Hyun Jin,547943,2021,2512,-11.7,-64.2,
Chapman, Aroldis,547973,2021,,,,
Raley, Brooks,548384,2021,2954,-15.8,-50.6,
Stripling, Ross,548389,2021,2527,6.4,-57.3,
Kittredge, Andrew,552640,2021,,,,
Garcia, Yimi,554340,2021,2729,10.6,-42.2,
Wheeler, Zack,554430,2021,2638,9.8,-52.9,
Matzek, Tyler,554431,2021,2937,-8.8,-56.7,
Rodriguez, Joely,570257,2021,,,,
Valdez, Phillips,570488,2021,,,,
Urena, Jose,570632,2021,,,,
Robles, Hansel,570663,2021,1972,6.5,-50.6,
Cessa, Luis,570666,2021,,,,
Boyd, Matthew,571510,2021,2554,-12.5,-67.5,
Brothers, Rex,571521,2021,,,,
Corbin, Patrick,571578,2021,1786,-3.8,-66.8,
Farmer, Buck,571656,2021,,,,
Floro, Dylan,571670,2021,,,,
Givens, Mychal,571710,2021,,,,
Heaney, Andrew,571760,2021,2571,-7,-46.8,
Loup, Aaron,571901,2021,2473,-19.3,-47.3,
Matz, Steven,571927,2021,2336,-13.3,-54.8,
Mikolas, Miles,571945,2021,2569,9.6,-62.3,
Richards, Garrett,572070,2021,3144,11,-64.9,
Smith, Burch,572143,2021,2424,10.2,-58.3,
Tepera, Ryan,572193,2021,2273,5.8,-46.5,
Johnson, Pierce,572955,2021,2886,11,-43.5,
Keuchel, Dallas,572971,2021,,,,
Mantiply, Joe,573009,2021,2352,-7.6,-45.1,
Rogers, Taylor,573124,2021,,,,
Stroman, Marcus,573186,2021,2527,15.5,-47.2,
Thielbar, Caleb,573204,2021,2383,-9.8,-70,
Minaya, Juan,573668,2021,,,,
Kikuchi, Yusei,579328,2021,,,,
Foltynewicz, Mike,592314,2021,2316,10.3,-45.5,
Gausman, Kevin,592332,2021,,,,
Gonzalez, Chi Chi,592346,2021,2571,4.6,-43.1,
Gray, Jon,592351,2021,2585,11.3,-56.6,
Hembree, Heath,592390,2021,2983,12.8,-50,
Jackson, Luke,592426,2021,2435,5.3,-51.5,
Plutko, Adam,592644,2021,2894,11.4,-56.8,
Ray, Robbie,592662,2021,2125,-1.3,-40.3,
Sanchez, Aaron,592717,2021,2485,14.1,-61.4,
Shreve, Chasen,592741,2021,,,,
Smith, Caleb,592761,2021,2599,-6.8,-51.1,
Smyly, Drew,592767,2021,2096,2.9,-44.2,
Stanek, Ryne,592773,2021,,,,
Taillon, Jameson,592791,2021,2732,10.2,-55,
Velasquez, Vince,592826,2021,2444,5.8,-51.7,
Walker, Taijuan,592836,2021,2356,7.8,-59.7,
Williams, Trevor,592866,2021,2238,9.7,-48.6,
Rodriguez, Richard,593144,2021,,,,
German, Domingo,593334,2021,2614,1.4,-45.3,
Martinez, Carlos,593372,2021,1950,10.1,-45.5,
Montas, Frankie,593423,2021,,,,
Neris, Hector,593576,2021,,,,
Suero, Wander,593833,2021,2677,9.6,-55.5,
Rodriguez, Eduardo,593958,2021,,,,
Peralta, Wandy,593974,2021,,,,
Mayers, Mike,594577,2021,2166,4.6,-44.1,
deGrom, Jacob,594798,2021,2705,7.4,-44.1,
Gonzales, Marco,594835,2021,2282,-6.1,-61.5,
Ponce de Leon, Daniel,594965,2021,2539,5.9,-58.8,
Treinen, Blake,595014,2021,,,,
Winkler, Dan,595465,2021,2619,9.1,-43.4,
Curtiss, John,595928,2021,,,,
Junis, Jakob,596001,2021,2350,11.8,-46.6,
Norris, Daniel,596057,2021,,,,
Stephenson, Robert,596112,2021,3054,10.5,-47.8,
Weaver, Luke,596133,2021,2365,4.6,-51.7,
Gomber, Austin,596295,2021,2511,-5.5,-64.7,
Barnes, Matt,598264,2021,2111,3.8,-47.6,
Machado, Andres,600921,2021,,,,
Pivetta, Nick,601713,2021,2742,8,-63.6,
Barlow, Scott,605130,2021,2479,14.1,-54.3,
Bassitt, Chris,605135,2021,2329,13.6,-67.4,
Bradley, Archie,605151,2021,1950,6,-56.2,
Bundy, Dylan,605164,2021,2441,9.2,-63.9,
Chafin, Andrew,605177,2021,,,,
Davies, Zach,605200,2021,2456,9.4,-59.5,
Fulmer, Michael,605242,2021,2529,15.3,-51.3,
Holmes, Clay,605280,2021,2662,7.4,-53.7,
Houser, Adrian,605288,2021,1855,5.4,-55.7,
Lopez, Jorge,605347,2021,2378,7.9,-52,
Musgrove, Joe,605397,2021,2808,11,-54.7,
Nola, Aaron,605400,2021,2529,14.6,-55.1,
Romano, Jordan,605447,2021,,,,
Ross, Joe,605452,2021,,,,
Snell, Blake,605483,2021,2259,-11.1,-55.9,
Springs, Jeffrey,605488,2021,,,,
Thompson, Zach,605507,2021,2267,3.8,-55.9,
Turnbull, Spencer,605513,2021,2622,11.9,-56.2,
Wendelken, J.B.,605525,2021,2426,10.8,-59.1,
Wisler, Matt,605538,2021,,,,
Woodruff, Brandon,605540,2021,2646,4.5,-51.3,
Gallegos, Giovanny,606149,2021,,,,
Montero, Rafael,606160,2021,,,,
Payamps, Joel,606303,2021,,,,
Garcia, Jarlin,606424,2021,,,,
Rodon, Carlos,607074,2021,2253,-6.6,-54.3,
Faria, Jake,607188,2021,2292,6,-64.8,
Glasnow, Tyler,607192,2021,2995,4.6,-57.3,
Fedde, Erick,607200,2021,2282,14.3,-44.5,
Gant, John,607231,2021,2473,6.4,-63.5,
Garrett, Amir,607237,2021,,,,
Patton, Spencer,607359,2021,,,,
Banda, Anthony,607455,2021,2045,-8.7,-49.3,
Bummer, Aaron,607481,2021,,,,
Freeland, Kyle,607536,2021,2437,-5.6,-51.6,
Howard, Sam,607572,2021,,,,
Lugo, Seth,607625,2021,3261,12.1,-61.7,
Means, John,607644,2021,2278,-13.1,-52.2,
Estevez, Carlos,608032,2021,,,,
De Jong, Chase,608328,2021,2635,8,-57.4,
Fried, Max,608331,2021,2650,-8.3,-65.3,
Funkhouser, Kyle,608335,2021,,,,
Giolito, Lucas,608337,2021,2382,6.4,-52.4,
Irvin, Cole,608344,2021,2056,-3.9,-52,
Sims, Lucas,608371,2021,3169,10.6,-42.6,
Wacha, Michael,608379,2021,2191,11.3,-56.4,
Marquez, German,608566,2021,2683,4,-40.3,
Chargois, JT,608638,2021,,,,
Duffey, Tyler,608648,2021,2482,4.7,-49.7,
Graveman, Kendall,608665,2021,2388,8.1,-49.6,
Leone, Dominic,608678,2021,,,,
Steckenrider, Drew,608716,2021,2155,0.6,-48.1,
Stratton, Chris,608717,2021,3123,15.6,-51.6,
Suter, Brent,608718,2021,2294,-6.7,-46.8,
Voth, Austin,608723,2021,2991,14.6,-55.4,
Castro, Miguel,612434,2021,,,,
Adams, Austin,613534,2021,,,,
Ruiz, Jose,614179,2021,2396,2.6,-42.9,
Quantrill, Cal,615698,2021,2353,3.8,-43,
Sawamura, Hirokazu,617228,2021,,,,
Reyes, Alex,621052,2021,2811,8.8,-63.8,
Kaprielian, James,621076,2021,2443,6.8,-51.2,
Eflin, Zach,621107,2021,2252,10.5,-51.3,
Buehler, Walker,621111,2021,2861,10.7,-57.7,
Blackburn, Paul,621112,2021,2579,7,-58.9,
Burr, Ryan,621114,2021,,,,
McCullers Jr., Lance,621121,2021,2923,11.9,-49.2,
Mills, Alec,621219,2021,2317,12.5,-74.3,
Alvarado, Jose,621237,2021,2444,-0.8,-44.2,
Diaz, Edwin,621242,2021,,,,
Berrios, Jose,621244,2021,2338,15,-43.6,
Underwood Jr., Duane,621249,2021,2388,8.5,-53.3,
Wittgren, Nick,621295,2021,,,,
Minter, A.J.,621345,2021,,,,
Clay, Sam,621348,2021,,,,
Hearn, Taylor,621368,2021,,,,
Young, Alex,622065,2021,2332,-0.8,-41.6,
Wood, Alex,622072,2021,,,,
Almonte, Yency,622075,2021,,,,
Zimmer, Kyle,622092,2021,1994,3.2,-59,
Smith, Drew,622098,2021,2724,14.5,-56,
Sborz, Josh,622250,2021,1989,8,-51.8,
Staumont, Josh,622251,2021,2733,9.7,-54.4,
Tate, Dillon,622253,2021,,,,
Castillo, Luis,622491,2021,,,,
Crismatt, Nabil,622503,2021,2259,13.6,-68.4,
Senzatela, Antonio,622608,2021,2158,6.6,-51.1,
Hernandez, Elieser,622694,2021,,,,
Diaz, Miguel,622766,2021,,,,
Sewald, Paul,623149,2021,,,,
Flexen, Chris,623167,2021,2708,7.9,-59.1,
Hader, Josh,623352,2021,,,,
Suarez, Ranger,624133,2021,,,,
Thompson, Keegan,624522,2021,2546,8,-52.8,
Gonzalez, Victor,624647,2021,,,,
Lopez, Reynaldo,625643,2021,2501,8.6,-55.8,
Maeda, Kenta,628317,2021,2620,11,-60.9,
Iglesias, Raisel,628452,2021,,,,
Urias, Julio,628711,2021,2885,-15.8,-42.3,
Crowe, Wil,640444,2021,2440,4.9,-55.3,
Finnegan, Kyle,640448,2021,,,,
Manaea, Sean,640455,2021,2014,-4.9,-37.5,
Alzolay, Adbert,640470,2021,2648,7.6,-42.7,
Lopez, Pablo,641154,2021,2487,12.6,-48.2,
Alexander, Tyler,641302,2021,,,,
Bickford, Phil,641360,2021,,,,
Bowden, Ben,641386,2021,,,,
Brentz, Jake,641394,2021,,,,
Brogdon, Connor,641401,2021,,,,
Cortes Jr., Nestor,641482,2021,,,,
Dunning, Dane,641540,2021,2061,7.8,-59.8,
Foster, Matt,641582,2021,,,,
Jimenez, Joe,641729,2021,,,,
Kay, Anthony,641743,2021,2373,-8.5,-55.2,
Keller, Brad,641745,2021,,,,
Kinley, Tyler,641755,2021,,,,
Kuhl, Chad,641771,2021,2680,10.6,-52.1,
Lauer, Eric,641778,2021,2449,-5.2,-50.2,
Littell, Zack,641793,2021,,,,
Mahle, Tyler,641816,2021,,,,
Mayza, Tim,641835,2021,,,,
Ober, Bailey,641927,2021,2302,10.3,-60.8,
Pagan, Emilio,641941,2021,,,,
Rogers, Josh,642028,2021,2132,-5.1,-53,
Smith, Riley,642092,2021,2366,7.3,-54.2,
Sulser, Cole,642121,2021,2398,16.7,-54.2,
Taylor, Blake,642130,2021,,,,
Trivino, Lou,642152,2021,2382,13.3,-53.4,
Widener, Taylor,642203,2021,,,,
Williams, Devin,642207,2021,,,,
Yarbrough, Ryan,642232,2021,2270,-15.5,-49.3,
Soto, Gregory,642397,2021,,,,
Loaisiga, Jonathan,642528,2021,2646,11.9,-34.5,
Barria, Jaime,642545,2021,,,,
Peralta, Freddy,642547,2021,2214,8.4,-51.9,
Santana, Dennis,642701,2021,,,,
Cimber, Adam,643256,2021,,,,
Dunn, Justin,643290,2021,2502,16.6,-42.7,
Fry, Paul,643316,2021,,,,
Green, Chad,643338,2021,2580,7.9,-40.8,
Jax, Griffin,643377,2021,2721,5.9,-56.1,
Rogers, Tyler,643511,2021,,,,
Alcantara, Sandy,645261,2021,2396,3.8,-42.9,
Pop, Zach,647315,2021,,,,
Wells, Alexander,649144,2021,2485,-10.1,-63.8,
Hernandez, Darwinzon,650382,2021,2825,-15.3,-51.7,
Mejia, J.C.,650496,2021,2512,13,-54.1,
Garcia, Bryan,650530,2021,,,,
Abreu, Bryan,650556,2021,2787,7.5,-46.9,
King, Michael,650633,2021,2670,17.7,-41.7,
Civale, Aaron,650644,2021,2822,9.2,-62,
Santana, Edgar,650828,2021,,,,
Cabrera, Genesis,650893,2021,2435,-7,-54.1,
Castillo, Diego,650895,2021,,,,
Abreu, Albert,656061,2021,2561,9.5,-56,
Barnes, Charlie,656212,2021,2101,-9.7,-53.5,
Bielak, Brandon,656232,2021,2498,6.6,-59,
Canning, Griffin,656288,2021,2325,7.6,-46.8,
Cease, Dylan,656302,2021,2754,5.3,-61.7,
Coonrod, Sam,656322,2021,,,,
Feyereisen, J.P.,656420,2021,,,,
Flaherty, Jack,656427,2021,2405,12.1,-60.1,
Gilbert, Tyler,656457,2021,2402,-6.5,-60.3,
Gilbreath, Lucas,656458,2021,,,,
Hentges, Sam,656529,2021,2502,-7.1,-57.5,
Hoffman, Jeff,656546,2021,2487,9.3,-59.3,
Holloway, Jordan,656548,2021,2382,5.9,-57.4,
Houck, Tanner,656557,2021,,,,
Keller, Mitch,656605,2021,2618,9.5,-59.3,
Kopech, Michael,656629,2021,2485,9.7,-51.3,
Lange, Alex,656638,2021,,,,
Martin, Brett,656685,2021,2165,-0.3,-45.2,
Megill, Tylor,656731,2021,2174,3.1,-51.5,
Montgomery, Jordan,656756,2021,2246,-0.9,-46.7,
Newcomb, Sean,656794,2021,2881,-10.5,-59.7,
Peterson, David,656849,2021,1995,-5.1,-58.2,
Rasmussen, Drew,656876,2021,2629,5.3,-54.7,
Scott, Tanner,656945,2021,,,,
Sheffield, Justus,656954,2021,,,,
Steele, Justin,657006,2021,2601,-12.1,-52.8,
Taylor, Josh,657031,2021,2142,-6.5,-46.1,
Toussaint, Touki,657053,2021,2348,10.6,-59.6,
Watkins, Spenser,657093,2021,2327,0.5,-51.7,
Webb, Jacob,657097,2021,2599,6,-54.4,
Webb, Logan,657277,2021,,,,
Hill, Tim,657612,2021,,,,
Lamet, Dinelson,659275,2021,,,,
Ohtani, Shohei,660271,2021,2369,11.9,-63.3,
Yang, Hyeon-Jong,660365,2021,2339,-4.1,-67.6,
Ynoa, Huascar,660623,2021,,,,
Suarez, Jose,660761,2021,2758,-10.5,-51.6,
Graterol, Brusdar,660813,2021,,,,
De Los Santos, Enyel,660853,2021,,,,
Alcala, Jorge,660896,2021,,,,
Gutierrez, Vladimir,661269,2021,2570,15,-53,
Clase, Emmanuel,661403,2021,,,,
Thornton, Trent,663423,2021,3046,9.1,-56.7,
Rainey, Tanner,663432,2021,,,,
Bubic, Kris,663460,2021,2619,-8.3,-59.5,
Allard, Kolby,663465,2021,1896,-4.5,-56.6,
McKenzie, Triston,663474,2021,2147,6.1,-52.2,
Allen, Logan,663531,2021,2706,-9.5,-59.9,
Mize, Casey,663554,2021,2193,9.7,-51.4,
McClanahan, Shane,663556,2021,2652,-6,-50.9,
Santillan, Tony,663574,2021,,,,
Neidert, Nick,663734,2021,2031,10,-62,
Lynch, Daniel,663738,2021,1853,0.2,-49.7,
Woodford, Jake,663765,2021,2483,10,-64.6,
Sandoval, Patrick,663776,2021,2799,-6.2,-58.1,
Kowar, Jackson,663804,2021,2056,4.8,-51.7,
Singer, Brady,663903,2021,,,,
Paddack, Chris,663978,2021,2185,6.5,-61.6,
Stephan, Trevor,663986,2021,,,,
Gonsolin, Tony,664062,2021,2612,5.8,-56.2,
Ponce, Cody,664074,2021,2165,6.5,-54,
Fairbanks, Pete,664126,2021,,,,
Brubaker, JT,664141,2021,2801,6.4,-51.9,
Lucchesi, Joey,664192,2021,2081,-2.9,-45.5,
Clarke, Taylor,664199,2021,2510,7.1,-55.2,
Maton III, Phil,664208,2021,2984,19,-57.6,
Valdez, Framber,664285,2021,2873,-13.5,-61,
Javier, Cristian,664299,2021,2928,13.9,-58.2,
Urquidy, Jose,664353,2021,2571,8.8,-59.6,
Helsley, Ryan,664854,2021,2503,3.3,-55.3,
Keller, Kyle,664918,2021,2515,7.1,-46.9,
Misiewicz, Anthony,664948,2021,2859,-11,-50.4,
Kremer, Dean,665152,2021,2389,8.6,-64.9,
Anderson, Ian,666120,2021,1895,1,-48.4,
Garrett, Braxton,666129,2021,2167,-8.1,-57.8,
Manning, Matt,666159,2021,2295,8.3,-55.4,
Luzardo, Jesus,666200,2021,2233,0.2,-37.1,
Manoah, Alek,666201,2021,,,,
Muller, Kyle,666205,2021,2421,-5.9,-52.1,
King, John,667463,2021,,,,
Plesac, Zach,668676,2021,1884,1.7,-48.7,
Gallen, Zac,668678,2021,2437,8.3,-55.1,
Kranick, Max,668820,2021,2253,7.5,-47.6,
Wilson, Bryse,669060,2021,2322,16.7,-49.6,
Zimmermann, Bruce,669145,2021,2582,-1.1,-46.9,
Burnes, Corbin,669203,2021,2867,11.3,-49.3,
Akin, Keegan,669211,2021,2411,-6,-50.8,
Morgan, Eli,669212,2021,2328,7.8,-55.6,
Gilbert, Logan,669302,2021,2111,5.1,-57.3,
Wells, Tyler,669330,2021,2653,7.3,-52.1,
Skubal, Tarik,669373,2021,2222,-7.9,-63.9,
Rogers, Trevor,669432,2021,,,,
Bieber, Shane,669456,2021,2386,8.6,-52.8,
Bender, Anthony,669622,2021,,,,
Long, Sammy,669674,2021,2459,0.2,-63,
White, Mitch,669952,2021,2358,4.8,-54.8,
Bednar, David,670280,2021,2458,9.2,-58,
Oviedo, Johan,670912,2021,2424,10.8,-53.2,
Richards, Trevor,670950,2021,2051,3.5,-37.7,
Hernandez, Carlos,672578,2021,2391,5.9,-50.4,
Patino, Luis,672715,2021,2572,9,-50.4,
Karinchak, James,675916,2021,2295,-1,-47.9,
Howard, Spencer,675921,2021,1911,5.6,-66.6,
Heuer, Codi,676051,2021,,,,
Whitlock, Garrett,676477,2021,,,,
Fleming, Josh,676596,2021,1794,-8.2,-46.5,
Vest, Will,676684,2021,,,,
Peacock, Matt,676840,2021,,,,
de Geus, Brett,676969,2021,2351,9.3,-52.3,
Crochet, Garrett,676979,2021,,,,
Garcia, Luis,677651,2021,2264,5.9,-59.2,
Weathers, Ryan,677960,2021,,,,
Dobnak, Randy,677976,2021,,,,
Gray, Josiah,680686,2021,2430,1.5,-42.1,
Vesia, Alex,681911,2021,,,,
